date,close,volatility,rsi,volume_anomaly,momentum,regime
2024-01-31,184.62131623024877,18.55075931972734,58.49384227574614,0.9897746529004906,13.787424158102652,High-Vol
2024-02-01,178.89072556278805,18.55075931972734,57.97587174619535,0.3746707517843001,-3.5823273734122836,High-Vol
2024-02-02,167.6029124523379,18.55075931972734,57.99590470602328,0.5422984368773593,-0.7507974279081395,High-Vol
2024-02-03,175.39630752463094,18.55075931972734,47.6126158195875,0.34781284958608844,-7.911218220338725,High-Vol
2024-02-04,174.97841456233866,18.55075931972734,49.1873091563475,1.1216269884573082,-4.407717363300208,High-Vol
2024-02-05,170.7810742190744,18.55075931972734,51.586673350438815,0.4646339150769372,5.675237046328846,High-Vol
2024-02-06,183.55725458545103,18.55075931972734,49.53975510583993,0.33036343302536497,11.247839544426057,High-Vol
2024-02-07,178.17443917493443,18.55075931972734,54.97015962476215,1.0137651639056693,11.622275084448006,High-Vol
2024-02-08,178.38724480696675,16.843025665885115,46.27173880608565,1.0288319725094177,6.801700960009953,High-Vol
2024-02-09,178.69338071842333,16.843025665885115,53.34466168035787,0.3353757173619442,1.8993290302578316,High-Vol
2024-02-10,166.86876464364425,16.843025665885115,49.20559727839289,0.7872506999537381,-5.507661313809052,High-Vol
2024-02-11,171.17307096487622,16.843025665885115,40.68765994235227,0.822010527163254,-0.39394527525942635,High-Vol
2024-02-12,177.49978562745807,16.843025665885115,49.17941116593242,1.164879794874429,3.453413481623926,High-Vol
2024-02-13,166.4698602836344,16.843025665885115,49.50794900427377,0.7195012404992677,-18.430973705078316,High-Vol
2024-02-14,167.81333638204276,15.44167412373496,43.219323069493335,0.26727837356760126,-5.312989713237101,High-Vol
2024-02-15,174.71799502979775,15.44167412373496,39.86665406736767,1.5311802500617524,-5.123104778806663,High-Vol
2024-02-16,166.57714603523675,14.098294084753189,47.51942338146541,1.0768588884731956,-15.52657951782632,Bear
2024-02-17,175.9598894344667,14.098294084753189,49.36650671305568,1.5487276798311098,3.532502142211996,Sideways
2024-02-18,181.75712962016726,14.098294084753189,50.341356007396385,0.5457570684860736,3.5003223987181684,Sideways
2024-02-19,168.4075318501615,14.098294084753189,53.854617256029094,1.792455338953222,-9.97339100634025,Bear
2024-02-20,178.53130738251906,14.825773269699487,48.77755877290446,0.9799648871926353,-6.090008847729706,Bear
2024-02-21,177.91774320606214,14.825773269699487,47.33878783225518,1.6978105562670534,-0.9729823567259075,Sideways
2024-02-22,171.5502988737983,14.825773269699487,49.85685099340393,0.5449604891400188,3.9473864214604077,Sideways
2024-02-23,178.80877966847734,14.825773269699487,46.432217008141365,0.7791934898774234,3.4124721438464007,Sideways
2024-02-24,176.8475166068696,14.825773269699487,50.05614570314248,0.46493962709711506,1.8691020445309334,Sideways
2024-02-25,181.15871886755275,14.825773269699487,55.370461842236566,0.6984297343658424,10.377644648478338,Bull
2024-02-26,171.69051684610184,14.825773269699487,55.37377428971122,1.8177942922944776,-11.86673773934919,Bear
2024-02-27,180.1811221317101,14.825773269699487,46.97599049406584,0.6916815826556759,2.006682956775677,Sideways
